#,User,Name,A,B,C,D,E,F,G,H,I,J,K,Total,A_pen,B_pen,C_pen,D_pen,E_pen,F_pen,G_pen,H_pen,I_pen,J_pen,Total_Qst,Total_Pen
31,time50/1,[UFES] TLE,1/6,3/235,,,,,,3/184,,,1/-,3 (505),6,235,,,,,,184,,,3,505
32,time29/1,[UNIVASF] #include <gambiarra.h>,1/6,,3/126,,,,,5/287,,,,3 (539),6,,126,,,,,287,,,3,539
32,time29/1,[UNIVASF] #include <gambiarra.h>,1/6,,3/126,,,,,5/287,,,,3 (539),6,,126,,,,,287,,,3,539
33,time17/1,[UFPI] Don't Care,1/6,,,,,,,1/33,2/-,,,2 (39),6,,,,,,,33,,,2,39
33,time17/1,[UFPI] Don't Care,1/6,,,,,,,1/33,2/-,,,2 (39),6,,,,,,,33,,,2,39
34,time19/1,[FEI] Esse,1/24,1/-,2/-,,,,,1/60,,,,2 (84),24,,,,,,,60,,,2,84
34,time19/1,[FEI] Esse,1/24,1/-,2/-,,,,,1/60,,,,2 (84),24,,,,,,,60,,,2,84
35,time16/1,[UEFS] Don't care,1/7,,,,,,,1/78,,,,2 (85),7,,,,,,,78,,,2,85
35,time16/1,[UEFS] Don't care,1/7,,,,,,,1/78,,,,2 (85),7,,,,,,,78,,,2,85
36,time52/1,[UNIFESP] Trio de 11,2/12,,2/-,,,,,1/59,,,,2 (91),12,,,,,,,59,,,2,91
36,time52/1,[UNIFESP] Trio de 11,2/12,,2/-,,,,,1/59,,,,2 (91),12,,,,,,,59,,,2,91
37,time28/1,[UNISAL] #include <beer.h>,1/6,,1/-,,,,,2/70,1/-,,,2 (96),6,,,,,,,70,,,2,96
37,time28/1,[UNISAL] #include <beer.h>,1/6,,1/-,,,,,2/70,1/-,,,2 (96),6,,,,,,,70,,,2,96
38,time7/1,[UFMT] Bits Pantaneiro,2/12,,5/-,,,,,1/72,,,,2 (104),12,,,,,,,72,,,2,104
38,time7/1,[UFMT] Bits Pantaneiro,2/12,,5/-,,,,,1/72,,,,2 (104),12,,,,,,,72,,,2,104
39,time54/1,[UEA] UEA_Coders,2/14,,3/-,,,,,1/81,,,,2 (115),14,,,,,,,81,,,2,115
39,time54/1,[UEA] UEA_Coders,2/14,,3/-,,,,,1/81,,,,2 (115),14,,,,,,,81,,,2,115
40,time40/1,[UFRN] POLO,1/10,1/-,2/-,,,,,2/137,,,,2 (167),10,,,,,,,137,,,2,167
40,time40/1,[UFRN] POLO,1/10,1/-,2/-,,,,,2/137,,,,2 (167),10,,,,,,,137,,,2,167
41,time47/1,[UFMG] Ta Errado,1/9,2/-,,,,,,3/184,,,,2 (233),9,,,,,,,184,,,2,233
41,time47/1,[UFMG] Ta Errado,1/9,2/-,,,,,,3/184,,,,2 (233),9,,,,,,,184,,,2,233
42,time26/1,[UFC] High Density Matter,1/8,,6/138,,,,,5/-,,,,2 (246),8,,138,,,,,,,,2,246
42,time26/1,[UFC] High Density Matter,1/8,,6/138,,,,,5/-,,,,2 (246),8,,138,,,,,,,,2,246
43,time38/1,[UNIOESTE] Ops! Solucao Trivial,1/4,1/-,2/245,,,,,1/-,,,,2 (269),4,,245,,,,,,,,2,269
43,time38/1,[UNIOESTE] Ops! Solucao Trivial,1/4,1/-,2/245,,,,,1/-,,,,2 (269),4,,245,,,,,,,,2,269
44,time43/1,[USJT] Sao Judas 7,1/76,,3/-,,,,,4/259,,,,2 (395),76,,,,,,,259,,,2,395
44,time43/1,[USJT] Sao Judas 7,1/76,,3/-,,,,,4/259,,,,2 (395),76,,,,,,,259,,,2,395
45,time9/1,[FACCAT] bytemen,1/4,,4/-,,,,,6/-,,,,1 (4),4,,,,,,,,,,1,4
45,time9/1,[FACCAT] bytemen,1/4,,4/-,,,,,6/-,,,,1 (4),4,,,,,,,,,,1,4
46,time57/1,[UFSCAR] um balao ta bao,1/4,,,,,,,2/-,,,,1 (4),4,,,,,,,,,,1,4
46,time57/1,[UFSCAR] um balao ta bao,1/4,,,,,,,2/-,,,,1 (4),4,,,,,,,,,,1,4
47,time36/1,[FACENS] NULL_,1/5,,2/-,,,,,4/-,,,,1 (5),5,,,,,,,,,,1,5
47,time36/1,[FACENS] NULL_,1/5,,2/-,,,,,4/-,,,,1 (5),5,,,,,,,,,,1,5
48,time59/1,[IFTM] Zeppelin,1/5,,10/-,,,,,1/-,,,,1 (5),5,,,,,,,,,,1,5
48,time59/1,[IFTM] Zeppelin,1/5,,10/-,,,,,1/-,,,,1 (5),5,,,,,,,,,,1,5
49,time20/1,[UFFS] Euterpe,1/6,,,,,,,6/-,,,,1 (6),6,,,,,,,,,,1,6
49,time20/1,[UFFS] Euterpe,1/6,,,,,,,6/-,,,,1 (6),6,,,,,,,,,,1,6
50,time45/1,[IFNMG] Segmentation_Fault,1/6,5/-,,,,,,3/-,,,,1 (6),6,,,,,,,,,,1,6
50,time45/1,[IFNMG] Segmentation_Fault,1/6,5/-,,,,,,3/-,,,,1 (6),6,,,,,,,,,,1,6
51,time51/1,[UFV] To Bit or Not To Bit,1/6,4/-,3/-,,,,,7/-,,,,1 (6),6,,,,,,,,,,1,6
51,time51/1,[UFV] To Bit or Not To Bit,1/6,4/-,3/-,,,,,7/-,,,,1 (6),6,,,,,,,,,,1,6
52,time11/1,[UESB] Chico,1/7,,4/-,,,,,2/-,,,,1 (7),7,,,,,,,,,,1,7
52,time11/1,[UESB] Chico,1/7,,4/-,,,,,2/-,,,,1 (7),7,,,,,,,,,,1,7
53,time37/1,[UNESP] O(log n),1/8,,3/-,,,,,5/-,,,,1 (8),8,,,,,,,,,,1,8
53,time37/1,[UNESP] O(log n),1/8,,3/-,,,,,5/-,,,,1 (8),8,,,,,,,,,,1,8
54,time46/1,[UNIJUI] Spyware,1/10,,1/-,,,,,3/-,,,1/-,1 (10),10,,,,,,,,,,1,10
54,time46/1,[UNIJUI] Spyware,1/10,,1/-,,,,,3/-,,,1/-,1 (10),10,,,,,,,,,,1,10
55,time34/1,[UNINASSAU-FAP] Mayllon Veras,1/11,1/-,3/-,,,,,,,,,1 (11),11,,,,,,,,,,1,11
55,time34/1,[UNINASSAU-FAP] Mayllon Veras,1/11,1/-,3/-,,,,,,,,,1 (11),11,,,,,,,,,,1,11
56,time25/1,[UFPel] Haus of Code,1/17,1/-,2/-,,,,,5/-,,,,1 (17),17,,,,,,,,,,1,17
56,time25/1,[UFPel] Haus of Code,1/17,1/-,2/-,,,,,5/-,,,,1 (17),17,,,,,,,,,,1,17
57,time21/1,[UFF] Ex nihilo,1/21,,4/-,1/-,,,1/-,2/-,2/-,,,1 (21),21,,,,,,,,,,1,21
57,time21/1,[UFF] Ex nihilo,1/21,,4/-,1/-,,,1/-,2/-,2/-,,,1 (21),21,,,,,,,,,,1,21
58,time33/1,[CESUPA] MARRAPA,4/28,,6/-,,,,,,,,,1 (88),28,,,,,,,,,,1,88
58,time33/1,[CESUPA] MARRAPA,4/28,,6/-,,,,,,,,,1 (88),28,,,,,,,,,,1,88
