0,1,2,3,4,5,6,7,8,9,10,11,12
[UFPE] Wickaninnish,1 (7%),1 (7%),1 (7%),1 (7%),1 (7%),3 (20%),3 (20%),0,1 (7%),3 (20%),15,8 (53%)
[IFPB-JP] e-Coders,1 (20%),0,0,1 (20%),1 (20%),0,0,0,1 (20%),1 (20%),5,3 (60%)
[UFPI] CAFEÍNA OVERFLOW,1 (9%),0,0,1 (9%),1 (9%),1 (9%),1 (9%),0,6 (55%),0,11,5 (45%)
[UNIOESTE] Ops! Solução Trivial,1 (8%),1 (8%),0,1 (8%),2 (15%),3 (23%),3 (23%),0,1 (8%),1 (8%),13,5 (38%)
[UTFPR-PG] Bug Busters,1 (8%),0,0,1 (8%),1 (8%),0,1 (8%),0,2 (17%),6 (50%),12,4 (33%)
[UFPR] NomeProvisorioTrypanossoMestre,2 (18%),0,0,1 (9%),1 (9%),0,0,0,1 (9%),6 (55%),11,4 (36%)
[PUC-Rio] char mander;,1 (9%),1 (9%),0,0,2 (18%),0,3 (27%),0,1 (9%),3 (27%),11,2 (18%)
[UFRJ] Esse é meu time,1 (8%),5 (38%),0,1 (8%),2 (15%),1 (8%),1 (8%),0,1 (8%),1 (8%),13,7 (54%)
[IME] Lorem Ipsum,1 (5%),6 (32%),0,1 (5%),1 (5%),0,4 (21%),0,1 (5%),5 (26%),19,9 (47%)
[UERJ] XOR,1 (9%),0,0,1 (9%),2 (18%),1 (9%),2 (18%),0,1 (9%),3 (27%),11,3 (27%)
[UFRN] Ginga com Tapioca,1 (7%),1 (7%),0,1 (7%),1 (7%),0,1 (7%),4 (27%),2 (13%),4 (27%),15,7 (47%)
[UFRN] Bota mais um aí,2 (11%),2 (11%),0,1 (5%),2 (11%),0,4 (21%),0,1 (5%),7 (37%),19,6 (32%)
[URI-Erechim] URI Luminatti,1 (8%),1 (8%),0,6 (50%),1 (8%),0,1 (8%),0,1 (8%),1 (8%),12,6 (50%)
[UFFS] AKM,2 (17%),0,0,1 (8%),3 (25%),0,4 (33%),0,2 (17%),0,12,3 (25%)
[UNIJUI-Santa Rosa] Spyware,1 (7%),4 (27%),0,0,4 (27%),0,2 (13%),0,2 (13%),2 (13%),15,3 (20%)
[UFRGS] Code Runners,1 (20%),0,0,0,1 (20%),0,2 (40%),0,0,1 (20%),5,2 (40%)
[UFPel] Ta Serto,1 (25%),0,0,1 (25%),1 (25%),0,0,0,0,1 (25%),4,3 (75%)
[UDESC] Pollos Hermanos,1 (14%),0,0,1 (14%),1 (14%),0,3 (43%),0,1 (14%),0,7,3 (43%)
[UFS] Pra q nome?,2 (40%),1 (20%),0,0,2 (40%),0,0,0,0,0,5,2 (40%)
[UNOESTE] Supermain Returns,1 (17%),0,0,1 (17%),1 (17%),0,0,0,1 (17%),2 (33%),6,3 (50%)
[UNICAMP] Veni Vidi Codi,1 (8%),1 (8%),0,1 (8%),1 (8%),1 (8%),2 (15%),2 (15%),1 (8%),3 (23%),13,9 (69%)
[UNESP-Bauru] UNESP Bauru,5 (31%),0,0,0,1 (6%),5 (31%),0,0,1 (6%),4 (25%),16,2 (13%)
[USP-São Carlos] Q,1 (7%),5 (33%),0,1 (7%),1 (7%),0,2 (13%),0,1 (7%),4 (27%),15,5 (33%)
[UFSCar] vai_na.sort();,1 (8%),0,0,1 (8%),2 (17%),0,2 (17%),0,2 (17%),4 (33%),12,4 (33%)
[USP-São Carlos] A Viagem de Shi Hero,1 (11%),0,0,1 (11%),1 (11%),0,4 (44%),0,1 (11%),1 (11%),9,5 (56%)
[FEI] Instinct,1 (8%),6 (50%),0,1 (8%),2 (17%),0,0,0,2 (17%),0,12,4 (33%)
[FATEC-São Paulo] Xtreme Go Horse Oriented,1 (9%),2 (18%),0,1 (9%),3 (27%),0,1 (9%),0,2 (18%),1 (9%),11,5 (45%)
[USP] Cadê o Baiano?,1 (8%),1 (8%),0,1 (8%),1 (8%),2 (17%),0,4 (33%),1 (8%),1 (8%),12,6 (50%)
[USJT] Scrumlambation,2 (29%),0,0,0,1 (14%),0,3 (43%),0,1 (14%),0,7,2 (29%)
[UNITAU] Maledictus Avus Pepe,1 (5%),0,0,1 (5%),1 (5%),0,3 (14%),0,6 (27%),10 (45%),22,4 (18%)
[ITA] Fast BIRL Transform,1 (7%),3 (21%),0,1 (7%),1 (7%),0,2 (14%),0,3 (21%),3 (21%),14,6 (43%)
[UFSCar-Sorocaba] Knights of Nlogonia,1 (13%),0,0,3 (38%),1 (13%),0,0,0,2 (25%),1 (13%),8,5 (63%)
[UFT] Valar Programmis,1 (5%),0,0,3 (16%),2 (11%),0,8 (42%),0,1 (5%),4 (21%),19,4 (21%)
[CCL] Ez Game Ez Life,1 (13%),1 (13%),0,1 (13%),1 (13%),0,0,0,2 (25%),2 (25%),8,5 (63%)
[CCL] VERÃO O ANO TODO,1 (14%),0,0,1 (14%),1 (14%),0,0,0,3 (43%),1 (14%),7,3 (43%)
[CCL] In rand() we trust!,1 (7%),1 (7%),0,1 (7%),4 (29%),4 (29%),1 (7%),0,1 (7%),1 (7%),14,8 (57%)
[CCL] A Fumada de Fourier,1 (13%),0,0,1 (13%),1 (13%),0,3 (38%),0,1 (13%),1 (13%),8,6 (75%)
[CCL] Queijo com goiabada,4 (27%),5 (33%),0,1 (7%),1 (7%),0,1 (7%),0,0,3 (20%),15,3 (20%)
[CCL] deBuggers,2 (7%),0,0,15 (54%),3 (11%),0,0,0,8 (29%),0,28,2 (7%)
[CCL] Maluquise,1 (6%),2 (11%),1 (6%),1 (6%),1 (6%),6 (33%),1 (6%),2 (11%),2 (11%),1 (6%),18,9 (50%)
[CCL] Rumpelstiltskin,2 (15%),1 (8%),1 (8%),1 (8%),1 (8%),1 (8%),2 (15%),1 (8%),2 (15%),1 (8%),13,11 (85%)
[CCL] Absurdo Clássico e Fulano,1 (11%),1 (11%),0,1 (11%),1 (11%),2 (22%),1 (11%),0,1 (11%),1 (11%),9,8 (89%)
[CCL] Veterans Edition,1 (7%),2 (14%),0,1 (7%),1 (7%),0,1 (7%),6 (43%),1 (7%),1 (7%),14,7 (50%)
[CCL] Never Lucky,1 (5%),6 (27%),0,1 (5%),1 (5%),0,1 (5%),0,11 (50%),1 (5%),22,3 (14%)
[CCL] Nuclear Coders,1 (14%),0,0,1 (14%),2 (29%),0,0,0,3 (43%),0,7,4 (57%)
[CCL] Cabralgoritmo,1 (7%),0,0,1 (7%),1 (7%),0,10 (71%),0,1 (7%),0,14,3 (21%)
[CCL] santjuan's team,1 (8%),1 (8%),0,4 (33%),1 (8%),3 (25%),1 (8%),0,0,1 (8%),12,5 (42%)
